Total rows: 76
Unnamed: 0|Unnamed: 1|Unnamed: 2|Unnamed: 3|Unnamed: 4|Unnamed: 5|Unnamed: 6|Unnamed: 7
28|Change Management|Batch Approval cho nhóm change liên quan chưa có|MEDIUM|- Approval process Không tối ưu|"- Ánh xạ services với hệ thống hiện tại
- Nhóm changes theo service
- cập nhật batch Approval workflow
- Test quy trình"|Change Management Team, Service Owner, Infra, Development Team|
29|Change Management|Feedback & Improvement chưa có backlog cụ thể|MEDIUM|Chưa có roadmap cho cải thiện nên chưa có hiệu quả|"	- Tạo template improvement backlog
- Review hàng tháng với team
- Ưu tiên theo tác động (impact) & nỗ lực (effort)
- Theo dõi hoàn thành"|Change Management Team, ITSM lead|
30|Change Management|Training CM chưa đặc thù & chuyên sâu|MEDIUM|Chưa có training cho CM, chủ yếu tự học|- Thiết kế training CM chuyên sâu (ITIL 4 Practice)|Change Management Team, ITSM lead, L&D, HR|
31|Change Management|Chứng chỉ & yêu cầu năng lực CM chưa định rõ|MEDIUM|"- Không có Kế hoạch tuyển dụng
- rủi ro Mất nhân tài, năng lực Không scale"|Xây dựng 4P next gen cho CM|ITSM lead, HR|
32|Configuration|Chính sách CMDB chưa formal|CRITICAL|Không rõ scope, CI types, roles → quản lý không nhất quán|Tạo CMDB Policy Charter document||
33|Configuration|Không có tool CMDB - sử dụng Excel|CRITICAL|Không thể tự động, không relationship mapping, không integration|Đánh giá & select CMDB tool (ServiceNow/Remedy)||
34|Configuration|Chưa map CI relationships & service dependencies|HIGH|Không biết service nào phụ thuộc CI nào → không tính impact được|Map service-to-CI cho top 10 services||
35|Configuration|Không có audit trail & audit process|HIGH|Không track thay đổi (ai, khi nào) → rủi ro compliance|Setup audit logging, monthly audits||
36|Configuration|CI Owners không được gán rõ ràng|HIGH|Không ai chịu trách nhiệm keep data accurate → dữ liệu lỗi thời|Gán CI Owner cho mỗi hệ thống||
37|Configuration|Không có CMDB Steward role & governance|HIGH|Không ai quản lý tổng thể CMDB, conflicts không resolve|Assign CMDB Steward||
38|Configuration|CMDB không integrate Incident & Change|HIGH|Incident/Change workflows không dùng CMDB data → không update|Integrate CMDB with tools||
39|Configuration|Không có data quality standards|HIGH|Duplicate CIs, inconsistent data → không tin tưởng CMDB|Define quality standards, validation||
40|Configuration|Không có auto-population từ monitoring tools|MEDIUM|Manual data entry → thời gian lãng phí, data lag|Setup data feeds từ monitoring tools||
41|Configuration|CMDB team part-time, không training|MEDIUM|CMDB không ưu tiên, team burnout, knowledge loss|Assign dedicated CMDB Admin, provide training||
42|Configuration|Không có KPI đo CMDB effectiveness|MEDIUM|Không biết coverage, quality → không justify investment|Define metrics, create dashboard||
43|Process QA|NO audit checklists (IM, CM, PM)|CRITICAL|Audits ad-hoc, inconsistent|Create standardized checklists||
44|Process QA|Audit frequency yearly only|CRITICAL|Cannot identify trends|Plan quarterly audits||
45|Process QA|Coverage only 3% (1/30 processes)|CRITICAL|Most processes never audited|Create 3-year plan for 80% coverage||
46|Process QA|Metrics almost ZERO (10%)|CRITICAL|Cannot measure PQA effectiveness|Define & track 5 key metrics||
47|Process QA|NO escalation for critical findings|CRITICAL|Critical issues ignored|Define escalation procedure||
48|Process QA|NO maturity assessment|MEDIUM|Cannot prioritize improvements|Use maturity framework (ITIL)||
49|3rd party Management|NO formal 3PM Policy|CRITICAL|Write formal policy, CIO approve|||
50|3rd party Management|NO Vendor Classification|CRITICAL|Create critical/high/medium/low matrix|||
51|3rd party Management|NO SLA Monitoring|CRITICAL|Setup SLA dashboard, weekly reports|||
52|3rd party Management|NO Vendor Metrics|CRITICAL|Define & track 5-7 KPIs per vendor|||
53|3rd party Management|NO Risk Assessment|HIGH|Define risk assessment framework|||
54|3rd party Management|NO Roles & Authority|HIGH|Document vendor manager roles|||
55|QC|Không có chiến lược và roadmap QC rõ ràng|CRITICAL|Thiếu định hướng dài hạn, không thể đo lường tiến bộ, không liên kết với mục tiêu kinh doanh|Xây dựng QC Strategy 3-5 năm với roadmap chi tiết, KPIs đo lường, và liên kết trực tiếp với business objectives||
56|QC|Không có quy trình test planning được chuẩn hóa|CRITICAL|Thiếu tính nhất quán, khó đảm bảo chất lượng test, không thể quản lý rủi ro hiệu quả|Thiết lập quy trình Test Planning chuẩn với template, timeline, và approval workflow rõ ràng||
57|QC|Chưa có metrics và KPIs cho QA/QC|CRITICAL|Không thể đo lường hiệu quả QC, không có cơ sở để cải tiến, không thể chứng minh giá trị|Thiết lập bộ KPIs QC core (Test Coverage, Defect Density, Automation Rate, etc.) với targets và dashboards||
58|QC|Không đo lường được test coverage|CRITICAL|Không biết được mức độ test đầy đủ, rủi ro cao về untested code, không thể tối ưu effort|Triển khai công cụ đo coverage (code coverage, requirement coverage) và thiết lập target tối thiểu||
59|QC|Không có chiến lược test automation|CRITICAL|Automation không có hướng đi rõ ràng, lãng phí resources, ROI thấp|Xây dựng Test Automation Strategy với roadmap, tool selection, training plan, và ROI targets||
60|QC|Không có quy trình test data management|CRITICAL|Test data không đáng tin cậy, rủi ro bảo mật cao, tốn thời gian setup manual|Thiết lập Test Data Management strategy với data provisioning, masking, và governance process||
61|QC|Không tuân thủ các chuẩn QC quốc tế|CRITICAL|Không đáp ứng yêu cầu compliance, khó đối chiếu với best practices, rủi ro trong audit|Áp dụng framework chuẩn (ISTQB, ISO 29119) và thiết lập traceability từ requirements đến test results||
62|QC|Quy trình Defect Management không được chuẩn hóa|HIGH|Bugs không được xử lý nhất quán, khó prioritize, không có accountability|Chuẩn hóa Defect Management process với priority/severity matrix, SLA theo mức độ, và workflow rõ ràng||
63|QC|Quality gates không được thực thi đầy đủ|HIGH|Code quality không được đảm bảo, bugs có thể leak sang production|Thực thi quality gates nghiêm ngặt: build fail khi test fail, mandatory test coverage checks||
64|QC|Chỉ có 1 test environment, không có configuration management|HIGH|Bottleneck trong testing, conflicts giữa các team, không thể test parallel|Thiết lập multiple test environments (Dev, SIT, UAT) với automation provisioning và config management||
65|QC|Chính sách QC chỉ ở mức high-level và hiếm khi được cập nhật|MEDIUM|Chính sách không đủ chi tiết để hướng dẫn thực thi, không theo kịp thực tế|Phát triển QC Policy riêng biệt, chi tiết hơn với cơ chế review định kỳ (6 tháng/lần)||
66|QC|RACI matrix không được tài liệu hóa|MEDIUM|Thiếu clarity về trách nhiệm khi có thay đổi team hoặc escalation|Tài liệu hóa RACI matrix cho tất cả QC activities và update định kỳ||
67|QC|Quy trình regression testing không rõ ràng|MEDIUM|Edge cases không được cover, rủi ro regression bugs|Chuẩn hóa regression testing process, tăng automation coverage, bao gồm edge cases||
68|QC|Performance testing chỉ làm theo yêu cầu, không có benchmarks|MEDIUM|Performance issues có thể không được phát hiện sớm, không có baseline để so sánh|Thiết lập performance benchmarks và làm load testing định kỳ cho critical systems||
69|QC|Skill gaps đáng kể và không có training có tổ chức|MEDIUM|Team capability không được phát triển, phụ thuộc vào self-learning|Thiết lập training program có cấu trúc với focus vào automation, test design, và domain knowledge||
70|QC|Không có defect triage process định kỳ|MEDIUM|Bugs resolution có thể chậm, thiếu forum để discuss technical issues|Thiết lập defect triage meetings định kỳ (weekly) giữa QC và Dev||
71|QC|Không có test execution reports|MEDIUM|Stakeholders không có visibility về test progress và quality status|Thiết lập automated test reporting với key metrics và trends||
72|QC|Tỷ lệ team biết automation tools thấp (25-30%)|MEDIUM|Automation không scale được, phụ thuộc vào một số người|Training toàn bộ QC team về automation tools, thiết lập automation champions||
73|QC|Không có release testing process, rollback plan không chi tiết|MEDIUM|Rủi ro cao khi release production, không có safety net|Thiết lập release testing phase với checklist và rollback plan chi tiết||
74|QC|Không có quy trình continuous improvement và roadmap nâng cao capability|MEDIUM|QC capability không được cải thiện có hệ thống|Thiết lập continuous improvement process (retrospectives, lessons learned) và maturity roadmap||
75|QC|Không rõ về tuân thủ GDPR và data protection trong testing|MEDIUM|Rủi ro compliance với data protection regulations|Đánh giá compliance gap và thiết lập data protection controls cho test data||

