Dashboard_Type,Metric_ID,Metric_Name,Category,Baseline,Target_Q1,Target_Q2,Target_Q3,Target_Q4,Actual_Q1,Actual_Q2,Actual_Q3,Actual_Q4,Status,Owner,Notes
Process QA,PQA-01,Audit Coverage %,Performance,3%,20%,40%,60%,80%,,,,,Not Started,PQA Lead,% processes audited
Process QA,PQA-02,Audit Frequency,Performance,1/year,2/quarter,2/quarter,2/quarter,2/quarter,,,,,Not Started,PQA Lead,Audits per quarter
Process QA,PQA-03,Major Findings Count,Performance,Unknown,<15,<12,<10,<8,,,,,Not Started,PQA Lead,Per audit
Process QA,PQA-04,Finding Closure Rate %,Performance,Unknown,70%,80%,90%,95%,,,,,Not Started,PQA Lead,Within 30 days
Process QA,PQA-05,Compliance Score %,Performance,30%,50%,70%,85%,95%,,,,,Not Started,PQA Lead,ITIL/ISO alignment
Quality Control,QC-01,Test Coverage %,Performance,Unmeasured,60%,70%,80%,85%,,,,,Not Started,QC Lead,Code coverage
Quality Control,QC-02,Defect Density,Performance,Unknown,<5/KLOC,<4/KLOC,<3/KLOC,<2/KLOC,,,,,Not Started,QC Lead,Defects per 1000 lines
Quality Control,QC-03,Defect Escape Rate %,Performance,Unknown,<15%,<12%,<10%,<8%,,,,,Not Started,QC Lead,Prod bugs / total bugs
Quality Control,QC-04,Test Automation Rate %,Automation,25-30%,40%,55%,70%,80%,,,,,Not Started,QC Lead,Automated tests
Quality Control,QC-05,Test Execution Time,Performance,Unknown,-20%,-35%,-50%,-60%,,,,,Not Started,QC Lead,vs baseline
Quality Control,QC-06,Quality Gate Pass Rate %,Performance,Unknown,75%,82%,88%,92%,,,,,Not Started,QC Lead,First-time pass
3rd Party Management,3P-01,Vendor Count Managed,Volume,Unknown,Track,Track,Track,Track,,,,,Not Started,3P Lead,Active vendors
3rd Party Management,3P-02,Vendor SLA Compliance %,Performance,Unmeasured,60%,75%,85%,90%,,,,,Not Started,3P Lead,Vendors meeting SLA
3rd Party Management,3P-03,Vendor Risk Score,Performance,Unmeasured,Baseline,Track,Track,Improve,,,,,Not Started,3P Lead,Risk assessment
3rd Party Management,3P-04,Contract Compliance %,Performance,Unknown,70%,80%,90%,95%,,,,,Not Started,3P Lead,Contracts up to date
3rd Party Management,3P-05,Vendor Performance Score,Performance,Unmeasured,Baseline,Track,Track,>80%,,,,,Not Started,3P Lead,Scorecard
3rd Party Management,3P-06,Vendor Incidents Tracked,Volume,Not Tracked,Track,Track,Track,Track,,,,,Not Started,3P Lead,ITSM integration
Resources & Budget,RES-01,CMDB Admin Hired,Hiring,No,Yes,Yes,Yes,Yes,,,,,Not Started,HR,Jan 2026
Resources & Budget,RES-02,3rd Party Lead Hired,Hiring,No,No,Yes,Yes,Yes,,,,,Not Started,HR,Apr 2026
Resources & Budget,RES-03,IM L2 Engineer Hired,Hiring,No,No,Yes,Yes,Yes,,,,,Not Started,HR,Jun 2026 (optional)
Resources & Budget,RES-04,PQA Auditor Hired,Hiring,No,No,No,Yes,Yes,,,,,Not Started,HR,Q3 2026 (optional)
Resources & Budget,RES-05,Cumulative Budget Spent,Budget,$0,$50K,$180K,$290K,$350K,,,,,Not Started,Finance,Actual vs planned
Resources & Budget,RES-06,Budget Variance %,Budget,0%,<10%,<10%,<10%,<10%,,,,,Not Started,Finance,Over/under budget
Automation,AUTO-01,Jira Automation Rules Active,Automation,0,10,25,40,60,,,,,Not Started,Jira Admin,Active rules
Automation,AUTO-02,Auto Incident Creation %,Automation,0%,10%,30%,50%,70%,,,,,Not Started,IM Manager,From monitoring
Automation,AUTO-03,Auto Priority Assignment %,Automation,0%,20%,50%,70%,85%,,,,,Not Started,IM Manager,Correct priority
Automation,AUTO-04,Auto Request Routing %,Automation,0%,20%,50%,70%,80%,,,,,Not Started,RM Lead,Correct team
Automation,AUTO-05,Manual Linking Eliminated %,Automation,0%,0%,30%,80%,100%,,,,,Not Started,All Leads,IM-CM-RM auto link
Training & Competency,TRAIN-01,ITIL Certified Team %,Training,0%,20%,40%,60%,80%,,,,,Not Started,L&D,% with ITIL cert
Training & Competency,TRAIN-02,Tool Training Completion %,Training,0%,40%,70%,85%,95%,,,,,Not Started,L&D,CMDB Jira etc
Training & Competency,TRAIN-03,Competency Matrix Defined,Training,No,Yes,Yes,Yes,Yes,,,,,Not Started,HR,All roles
Training & Competency,TRAIN-04,Average Competency Score,Training,Unknown,60%,70%,80%,85%,,,,,Not Started,HR,Team avg
Audit & Compliance,AUDIT-01,Policies Published Count,Compliance,0,7,7,7,7,,,,,Not Started,All Leads,Policy docs
Audit & Compliance,AUDIT-02,RACI Matrices Published Count,Compliance,0,7,7,7,7,,,,,Not Started,All Leads,RACI docs
Audit & Compliance,AUDIT-03,Internal Audits Completed,Compliance,0,1,2,3,4,,,,,Not Started,PQA Lead,Per quarter
Audit & Compliance,AUDIT-04,External Audit Passed,Compliance,No,No,Prep,Yes,Yes,,,,,Not Started,PQA Lead,Annual audit
Audit & Compliance,AUDIT-05,Audit Findings Closed %,Compliance,Unknown,60%,75%,85%,95%,,,,,Not Started,PQA Lead,Within SLA
Risk & Issues,RISK-01,Critical Risks Open,Risk,Unknown,Track,Track,Track,<3,,,,,Not Started,ITSM Lead,Open critical risks
Risk & Issues,RISK-02,High Issues Open,Risk,Unknown,Track,Track,Track,<10,,,,,Not Started,ITSM Lead,Open high issues
Risk & Issues,RISK-03,Risk Mitigation %,Risk,0%,40%,65%,85%,95%,,,,,Not Started,ITSM Lead,Mitigated risks
Business Value,VALUE-01,Downtime Hours Saved,Savings,0,50,120,200,300,,,,,Not Started,IM Manager,vs baseline
Business Value,VALUE-02,Manual Hours Saved,Savings,0,20,60,120,180,,,,,Not Started,All Leads,Automation savings
Business Value,VALUE-03,Cost Savings Realized,Savings,$0,$30K,$100K,$200K,$330K,,,,,Not Started,Finance,Quantifiable
Business Value,VALUE-04,Customer Complaints Reduced %,Savings,0%,10%,25%,40%,50%,,,,,Not Started,IM/RM Leads,vs baseline
Business Value,VALUE-05,Time to Market Improved %,Savings,0%,5%,15%,25%,30%,,,,,Not Started,CM Lead,Release cycle
