Task_ID,Task_Name,Phase,Start_Date,End_Date,Duration_Days,Priority,Owner,Dependencies,OC_Mapping,Findings_Addressed,Budget_USD,Status
5.6,PQA Q2 Audit Cycle Kickoff,Q2-May,2026-05-05,2026-06-30,57,ONGOING,PQA Lead,,OC1,PQA-F3,0,Not Started
5.7,KB Top Incidents,Q2-May,2026-05-12,2026-05-30,19,MEDIUM,IM Mgr + L2/L3,,OC3,IM-F8,0,Not Started
6.1,CI Relationship Mapping,Q2-Jun,2026-06-02,2026-06-23,22,CRITICAL,CMDB Admin + Architect,5.1,OC2,CMDB-F4,0,Not Started
6.2,Automation Go-Live Phase 1,Q2-Jun,2026-06-02,2026-06-30,29,CRITICAL,Jira Admin,5.5,OC3,IM-F3|RM-F4,0,Not Started
6.3,3rd Party VMS Evaluation,Q2-Jun,2026-06-02,2026-06-30,29,CRITICAL,3P Lead + Procurement,5.4,OC1,3P-F2,0,Not Started
6.4,Audit Preparation,Q2-Jun,2026-06-09,2026-06-20,12,HIGH,PQA + Compliance,,OC1,Multiple,0,Not Started
6.5,High-Risk Approval Workflow,Q2-Jun,2026-06-09,2026-06-20,12,MEDIUM,CM Lead + Jira Admin,,OC3,CM-F1,0,Not Started
6.6,Quality Gate FAIL Build,Q2-Jun,2026-06-02,2026-06-13,12,MEDIUM,QC Lead + DevOps,,OC3,QC-FC09,0,Not Started
6.7,Q2 Review & Adjustments,Q2-Jun,2026-06-23,2026-06-30,8,MEDIUM,All Leads,,ALL,N/A,0,Not Started
Q3,Q3 2026: INTEGRATION & OPTIMIZATION,Q3,2026-07-01,2026-09-30,92,CRITICAL,All Leads,,OC1|OC2|OC3|OC4,ALL,110000,Not Started
7.1,CMDB-IM Integration,Q3-Jul,2026-07-01,2026-07-31,31,CRITICAL,CMDB + IM + DevOps,6.1,OC2|OC3,IM-F1|CMDB-F9,0,Not Started
7.2,CMDB-CM Integration,Q3-Jul,2026-07-08,2026-08-14,38,CRITICAL,CMDB + CM + DevOps,6.1,OC2|OC3,CM-F10|CMDB-F9,0,Not Started
7.3,CMDB-RM Integration,Q3-Jul,2026-07-22,2026-08-14,24,HIGH,CMDB + RM + DevOps,6.1,OC2|OC3,RM-F8|CMDB-F9,0,Not Started
7.4,Automation Expansion Phase 2,Q3-Jul,2026-07-01,2026-09-18,80,CRITICAL,Jira Admin + All,6.2,OC3,IM-F3|RM-F4,0,Not Started
7.5,Training Programs Rollout,Q3-Jul,2026-07-01,2026-09-18,80,CRITICAL,L&D + Leads,,OC3,CM-F18|IM-F7|Multiple,30000,Not Started
7.6,First Audit Cycle Execution,Q3-Jul,2026-07-01,2026-09-22,84,CRITICAL,PQA + External Auditor,6.4,OC1,PQA-F3|CM-F3|Multiple,25000,Not Started
7.7,3rd Party VMS Deployment,Q3-Jul,2026-07-01,2026-08-14,45,CRITICAL,3P Lead + IT Ops,6.3,OC1,3P-F2,20000,Not Started
7.8,CI Data Population (Target 80%),Q3-Jul,2026-07-01,2026-09-30,92,ONGOING,CMDB Admin + Infra,5.1,OC2,CMDB-F3,0,Not Started
7.9,Test Automation Strategy,Q3-Jul,2026-07-08,2026-07-31,24,HIGH,QC Lead,,OC3,QC-FC05,0,Not Started
Q3-Review,Q3 Review & Q4 Planning,Q3-Sep,2026-09-23,2026-09-30,8,MEDIUM,All Leads,,ALL,N/A,0,Not Started
Q4,Q4 2026: CONTINUOUS IMPROVEMENT,Q4,2026-10-01,2026-12-31,92,HIGH,All Leads,,OC1|OC2|OC3|OC4,ALL,90000,Not Started
8.1,Process Optimization,Q4-Oct,2026-10-01,2026-12-20,81,ONGOING,All Leads,,OC3,Multiple,0,Not Started
8.2,Maturity Reassessment,Q4-Oct,2026-10-08,2026-10-31,24,HIGH,PQA + External,,ALL,ALL,15000,Not Started
8.3,Annual Compliance Audits,Q4-Oct,2026-10-01,2026-11-14,45,CRITICAL,PQA + Compliance + External,7.6,OC1,OC1 findings,30000,Not Started
8.4,Tool Refinements,Q4-Oct,2026-10-01,2026-11-30,61,MEDIUM,Tech Leads,,OC2|OC4,Based on usage,10000,Not Started
8.5,Automation Phase 3,Q4-Oct,2026-10-01,2026-11-14,45,MEDIUM,Jira Admin + DevOps,7.4,OC3,OC3,0,Not Started
8.6,2027 Roadmap Planning,Q4-Nov,2026-11-10,2026-12-10,31,HIGH,All Leads,,Future,N/A,0,Not Started
8.7,Year-End Reviews & Retrospectives,Q4-Dec,2026-12-08,2026-12-19,12,LOW,All Teams,,ALL,N/A,0,Not Started
8.8,CI Data to 90%+ & Lifecycle Mgmt,Q4-Oct,2026-10-01,2026-11-30,61,ONGOING,CMDB Admin,7.8,OC2,CMDB-F12,0,Not Started
Final-Review,Final Maturity Measurement,Q4-Dec,2026-12-15,2026-12-20,6,HIGH,PQA + External,,ALL,ALL,0,Not Started
2026-Report,2026 Success Report,Q4-Dec,2026-12-22,2026-12-24,3,MEDIUM,ITSM Lead,,ALL,N/A,0,Not Started
2027-Approval,2027 Roadmap Approval,Q4-Dec,2026-12-27,2026-12-31,5,HIGH,Leadership,,Future,N/A,0,Not Started
